well_id,latitude,longitude,maaiveld_nap,filter_1_gemiddeld,filter_2_gemiddeld,filter_3_gemiddeld,filter_4_gemiddeld,filter_5_gemiddeld,filter_1_trend_15_jaar,filter_2_trend_15_jaar,filter_3_trend_15_jaar,filter_4_trend_15_jaar,filter_5_trend_15_jaar,filter_1_trend_25_jaar,filter_2_trend_25_jaar,filter_3_trend_25_jaar,filter_4_trend_25_jaar,filter_5_trend_25_jaar
B01H0201,53.45678228014126,5.642819682687118,3.14,3.0258,-0.793,-0.083,,,,,,,,,,,,
B01H0213,53.4459404974809,5.705663794459607,2.88,2.1145,,,,,,,,,,,,,,
B01H0223,53.44330190852368,5.749135933036074,1.8,,,,,,,,,,,,,,,
B01H0239,53.43717674645273,5.638820837711686,1.88,1.1658,-0.118,-0.222,,,,,,,,,,,,
B01H0044,53.43150033051887,5.692332234307605,1.69,0.5652,-0.375,-0.222,0.467,-0.667,-0.607,,,,,,,,,
B01H0242,53.45645884929788,5.745107153932535,1.57,1.7776,,,1.772,,,,,,,,,,,
B01H0243,53.4567980521028,5.751839024519244,1.88,1.82,,,1.8317,,,,,,,,,,,
B01H0244,53.45442746765143,5.74537621612787,1.79,1.789,,,,,,,,,,,,,,
B01H0249,53.449370687322464,5.703025196449051,2.67,2.4661,-0.5,-0.197,,,,,,,,,,,,
B01H0261,53.43685706885134,5.669529344787606,1.24,0.878,,,,,,,,,,,,,,
B02C0229,53.44325432330039,5.764636044639434,1.84,,,,,,,,,,,,,,,
B02C0233,53.44749308928216,5.787550144374717,3.02,1.9524,-0.574,-0.333,,,,,,,,,,,,
B04F0157,53.29199170140697,5.024900793059445,2.75,2.3079,-0.357,-0.512,1.8451,-0.455,-0.5,,,,,,,,,
B04F0095,53.29286596764911,5.047358266096762,6.74,2.5843,-0.818,-1.538,,,,,,,,,,,,
B04G0035,53.27210500471927,4.987444383118201,,1.7517,,,,,,,,,,,,,,
B04G0039,53.26574583233041,4.967120700875251,1.39,1.2068,,,,,,1.2249,0.944,0.033,,,,,,
B04G0052,53.25714731612799,4.949672804913372,1.36,1.0621,0,0,,,,,,,,,,,,
B04G0054,53.260597304713365,4.959528221865809,1.06,0.9548,0.286,0.273,,,,,,,,,,,,
B04G0055,53.26239114142782,4.958611300516438,1.13,,,,1.0101,,,,,,,,,,,
B04G0060,53.2593092129115,4.95114940393794,1.29,,,,,,,1.1775,,,,,,,,
B04G0066,53.17017542777777,4.870681564409312,0.7,0.0425,,,,,,,,,,,,,,
B04G0071,53.16743944348593,4.873869320231017,0.31,-0.0378,,,,,,,,,,,,,,
B04G0076,53.252046341799904,4.955417781623781,1.67,1.4083,-0.667,-0.571,,,,,,,,,,,,
B05A0116,53.38315590167456,5.208977457657702,2.74,,,,,,,,,,,,,,,
B05A0130,53.383934448258564,5.255411281044547,4.48,,,,,,,,,,,,,,,
B05A0137,53.37839450297816,5.25895939242407,1.23,0.653,-0.606,-0.286,,,,,,,,,,,,
B05A0141,53.37516961016879,5.259660145755238,0.46,0.0818,,,,,,,,,,,,,,
B05A0086,53.37832211003512,5.258478769450915,1.49,0.9835,-0.2,-0.286,,,,,,,,,,,,
B05A0160,53.373717158622895,5.206011591794837,3.6,,,,,,,,,,,,,,,
B05A0162,53.37371545809325,5.20488475316179,2.48,,,,,,,,,,,,,,,
B05A0167,53.37379664736462,5.199250169458706,2.92,,,,,,,,,,,,,,,
B05A0173,53.36426443159551,5.194184508140657,2.58,,,,,,,2.2297,,,,,,,,
B05A0179,53.38483506984723,5.257362227447054,2.65,2.4295,0.1,0.538,2.3345,0.071,0.545,1.2495,-0.5,-0.333,,,,,,
